id,title,provider,url,rating,duration_hours,level,category,target_role,is_free,price_display,skills
fe_free_1,Responsive Web Design & Modern CSS Architecture,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/,4.9,40,Beginner,Frontend & Web,Frontend Engineer,True,100% Free,"HTML5, CSS3, Flexbox, CSS Grid, Responsive Design, Web Accessibility"
fe_free_2,Tailwind CSS: From Zero to Production Layouts,Frontend Masters,https://frontendmasters.com/courses/tailwind-css/,4.8,10,Beginner,Frontend & Web,Frontend Engineer,True,100% Free,"TailwindCSS, CSS, Modern UI, Responsive Design, Utility Classes"
fe_free_3,Web Performance Fundamentals & Core Web Vitals,web.dev / Google,https://web.dev/learn/performance/,4.9,15,Intermediate,Frontend & Web,Frontend Engineer,True,100% Free,"Web Performance, Core Web Vitals, LCP, CLS, Lazy Loading, Asset Optimization"
fe_free_4,CS50's Web Programming with Python and JavaScript,Harvard Online / edX,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,4.9,60,Intermediate,Frontend & Web,Frontend Engineer,True,Free (Audit),"JavaScript, React, Python, Django, SQL, Git, Front-End Testing"
fe_paid_1,The Complete React 19 & Redux Toolkit Masterclass,Udemy (Academind),https://www.udemy.com/course/react-the-complete-guide-incl-redux/,4.8,48,Intermediate,Frontend & Web,Frontend Engineer,False,$15.99,"React, React 19, Redux, React Router, Hooks, Context API, Next.js"
fe_paid_2,Next.js 15 & React - The Complete Server Components Guide,Udemy (Academind),https://www.udemy.com/course/nextjs-react-the-complete-guide/,4.9,36,Intermediate,Frontend & Web,Frontend Engineer,False,$16.99,"Next.js, React, Server Components, SSR, TailwindCSS, TypeScript, Vercel"
fe_paid_3,Understanding TypeScript: 2026 Developer Edition,Udemy (Maximilian Schwarzmüller),https://www.udemy.com/course/understanding-typescript/,4.8,16,Beginner,Frontend & Web,Frontend Engineer,False,$12.99,"TypeScript, JavaScript, Generics, OOP, Type Narrowing, Decorators"
fe_paid_4,Vue.js 3 - The Complete Guide (Pinia & Composition API),Udemy,https://www.udemy.com/course/vuejs-2-the-complete-guide/,4.8,32,Intermediate,Frontend & Web,Frontend Engineer,False,$14.99,"Vue, Vue 3, Pinia, Composition API, TypeScript, SPA, Vite"
fe_paid_5,Angular 18+ Signals & Microfrontends Complete Guide,Udemy (Academind),https://www.udemy.com/course/the-complete-guide-to-angular-2/,4.7,42,Intermediate,Frontend & Web,Frontend Engineer,False,$16.99,"Angular, TypeScript, Signals, RxJS, Dependency Injection, Microfrontends"
be_free_1,Golang Backend Web Development Bootcamp,freeCodeCamp,https://www.freecodecamp.org/news/learn-go-programming-by-building-projects/,4.8,20,Beginner,Backend & APIs,Backend Engineer,True,100% Free,"Go, Golang, Concurrency, REST API, Goroutines, Postgres, SQL"
